"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2.723";"3 de janeiro de 1899";"Henri Englest";"Estado do Rio Grande do Sul.";"Móla para vehiculos, denominada Móla eco- nomica ""."
"2.724";"4 "" "" "" """;"Tenente-coronel Gustavo de Caldas Brito e bacharel Eduardo Augusto de Caldas Brito.";"Estado da Bahia e Capital- Federal.";"Processo de extineção de formigas, denominado "" Insecticida ou formicida Brazil"""
"2.725";"5 "" "" "" """;"Alfredo Guimarães";"Capital Federal.";"Aperfeiçoamentos em apparelhos para gaz acce- tyleno."
"2.726";"5 "" "" """;"Christino Symphronio dos Reis";"Estado de Minas Geraes";"Ratoeiras para camondongos, ratos, tatús, etc."
"2.727";"5 "" """;"Ewaldo Kinger";"Estado do Paraná";"Apparelhos destinados dar torrefacção inicial da herva mate, denominado "" Seccador economico portatil"
"2.728";"5 "" "" """;"Thomaz Gomes Crauston";"Inglaterra";"Aperfeiçoamento em combustores, para lampadas de incandescencia de oleos."
"2.729";"5 """;"Verissimo Barbosa de Souza";"Capital Federal.";"Novo systema de fabricar sabão."
"2.730";"7 """;"Alexandre Borges Bally.";"Idem";"Carteira para cigarros."
"2.731";"7 """;"Dr. Francisco Custodio de Barros";"Idem";"Preparado denominado "" Rheumatina"", applicado ao tratamento do rheumatismo, molestias cuta- neas, syphiliticas, nevralgicas, pontadas e outras affecções dolorosas."
"2.732";"11 "" "" "" """;"Luiz Sampaio Corrêa";"Idem";"Carroça para conducção do lixo e applicavel a ou- tros fins."
"2.747";"1 de fevereiro de 1899 .";"Société Internationale de Mennerie et de Panification, systeme Schwei- tzer.";"Belgica";"Moinho peneirador para farinha de trigo."
"2.748";"1 "" "" "" """;"Auguste Colléte Filho e Auguste Boidin.";"França";"Systema de apparelhos empregados para a appli- cação do processo privilegiado pela patente n. 2.437."
"2.749";"9 "" "" "" """;"Mariano Borelli";"Capital Federal.";"Agua para toucador, denominada << Nymphomysti- kon ""."
"2.750";"9 "" "" "" """;"Julius Wilhelm von Pitter.";"Allemanha";"Machina para fabricar charutos."
"2.751";"9 "" "" "" """;"Norman Collins e Charles James Fauvel.";"Inglaterra";"Aperfeiçoamentos em apparelhos registradores de receitas."
"2.752";"9 "" "" """;"Luiz Spalla.";"Republica Oriental do Uru- guay.";"Apparelho formicida, denominado "" Formicida Americano""."
"2.753";"9 "" "" """;"Alexandre Speltz.";"Capital Federal.";"Turbina em helice sem pás, denominada "" Turbina Speltz>>."
"2.754";"16";"George Spencer Morrill .";"Estados Unidos da America do Norte.";"Processo aperfeiçoado de trabalhar metaes e appa- relho para esse fim."
"2.753";"16 """;"Alexandre Adair.";"Estado do Rio de Janeiro";"Aperfeiçoamentos em apparelhos de fabricar assucar."
"2.756";"16 "" "" """;"Kahn e Polak.";"França";"Systema aperfeiçoado de mala dobravel."
"2.757";"25 "" """;"George Sanville";"Capital Federal.";"Prensa manual portatil para a fabricação de tijolos e ladrilhos, denominada << Sanville"
"2.758";"25 "" "" "" """;"Mauricio José Austin";"Idem";"Systema de movimento uniforme em grupos de lam- padas de kerozene, por meio de roldanas denta- das, dando ao mesmo tempo igualdade da densi- dade de luz."
"2.759";"25 "" "" """;"Borel & C";"Idem";"Nova carteira aperfeiçoada para cigarros."
"2.760";"25 "" "" """;"Joaquim Martins Gamenho.";"Idem";"Enxergão aperfeiçoado."
"2.761";"25 "" "" """;"Paul Mauser";"Allemanha";"Arma de fogo automatica, aperfeiçoada."
"2.762";"25 "" "" "" """;"Jesler & Hoening.";"Estado da Bahia";"Aperfeiçoamentos em caixas de charutos."
"2.763";"25 "" "" """;"José Francisco Corrêa & C.";"Capital Federal.";"Estojo aperfeiçoado para cigarros e charutos."
"2.764";"25 "" "" """;"Os mesmos";"Idem";"Novo systema de fechos para carteiras ou estojo para cigarros e charutos."
"2.765";"25 "" "" """;"Ferdinand Duterstadt e Max Kanden.";"Allemanha";"Aperfeiçoamentos em geradores de acetyleno, sys- tema Duterstadt e Kandler."
"2.766";"4 de março de 1899.";"Luiz Belleza";"Capital Federal.";"Novo producto desinfectante e desodorante, d-no- minado "" Gazol""."
"2.767";"4 "" "" "" """;"George Sanville";"Idem";"Applicação do sylicato de aluminium (mica) no preparo e decoração do papel, destinado a forrar as paredes das habitações domesticas."
"2.768";"4 "" "" "" """;"Victor Antonio Vieira";"Idem";"Adaptação ás pontas dos cigarros e charutos de pe- quenas pastilhas de materia inflammavel por meio dos quaes é facil accendel-os ao vento ou a. chuva."
"2.769";"6 "" "" "" """;"Olegario & C.";"Idem";"Invenção de sabonetes de toillette, denominados << Fluctuantes""."
"2.770";"16 "" """;"Dr. John James Marchand.";"Idem";"Melhoramentos em combustores e gyradores a va- por."
"2.771";"16 """;"Amedée Mathurin Gabriel Sebillar";"França";"Systema de tratamento do zinco e outros metaes volatis em alto forno e apparelho para esse fim."
"2.772";"17 "" """;"Arthur Kitson.";"Estados Unidos da America do Norte.";"Lampadas queimando vapores."
"2.773";"17 de março de 1899.";"Joseph Sybrand Fenell";"Estados Unidos da America do Norte.";"Processo de impregnação de madeira e apparelho para esse fim."
