"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2.979";"8 de janeiro de 1900";"Frederick Bedell";"Estados Unidos da America do Norte.";"Systema de telegraphia e transmissão de correntes electricas."
"2.980";"8 "" """;"Anton Pollak, Josef Virag, Verei- nigte Electricitats Actien gerelle- chagt e Dr. Friederick Silbeistein.";"(Vienna) Austria";"Aperfeiçoamento nos processos de transmissão ra- pida dos telegrammas."
"2.981";"8 """;"Soares, Castro & Comp";"Capital Federal.";"Novo estojo para cigarros."
"2.932";"8 "" """;"Roberto Clark.";"Estado de S. Paulo";"Nova machina para lavar roupa denominada - Pro- gresso."
"2.983";"8 """;"Security Cash Register Company.";"Estados Unidos da America do Norte.";"Novo registrador de recebimento de: dinheiros."
"2.984";"8 """;"Nathan Huntley Edgerton";"Idem";"Nova pilha secundaria."
"2.985";"8";"Charles Henry Palmer e John Wil- liam Deurnead.";"Idem";"Nova machina para fabricar phosphoros de papel."
"2.986";"12";"Dr. Victorio A. de Perini.";"Capital Federal.";"Novo processo para o fabrico de carbureto de cal- cium."
"2.987";"13";"Jean Jeorge Deiss.";"França";"Novo processo para extrahir caoutchouc ou gutta percha dos vegetaes que os conteem."
"2.988";"13";"José Antonio Teixeira Barroso";"Capital Federal.";"Apparelho denominado - Progresso, destinado a alimentar as fornalhas por meio de pixe ou ou- tro qualquer oleo inflammavel."
"2.989";"13 """;"Francis Ellershamen.";"Inglaterra.";"Aperfeiçoamentos ou tratamento de sulfureto mes- tallicos refractarios."
"2.990|13";""" x """;"Carl Johan Kielberg.";"Dinamarca";"Methodo aperfeiçoado e apparelho para o fabrico de tubos de cimento."
"2.991";"19 "" """;"Estanislau José dos Reis";"Capital Federal.";"Folhinha denominada - Guanabara."
"2.992";"19 "" """;"Georg Friederick Lebroda";"França";"Processo de preservação da madeira."
"2.993";"19 "" "" """;"Henry James Kimman";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em brocas e apparelhos analogos."
"2.994";"19";"José del Cisppo";"Estado de S. Paulo";"Nova machina de beneficiar arroz."
"2.995";"19 """;"Antonio dos Santos Marán.";"Capital Federal.";"Aperfeiçoamentos em ferros de engommar."
"2.996";"19 "" """;"Henry James Kimman e Edward Nash Henley.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas de percursão mo- vidas por ar comprimido."
"2.997";"19 "" """;"Tiburcio Fiuza de Lima.";"Estado de Pernambuco";"Apparelho salva-vida maritimo pelo ar compri- mido."
"2.998";"19 "" "" "" """;"Antonin Gcrmot";"França.";"Aperfeiçoamentos no tratamento dos minerios de chumbo."
"2.999";"19 "" "" """;"Simon Lake.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em navios submarinos."
"3.000";"19 """;"Henrique J. A. Sastré e José Vel- loso Carneiro de Rezende.";"Estado de S. Paulo";"Invenção denominada - Madeira artificial."
