"N";"DATA DA EXPEDIÇÃO";"CONCES'STONARIOS";"RESIDENCIA";"OBJECTO"
"3.106 (bis)";"16 de maio de 1901.";"Paulo Victor Lanzone e Ro- dolpho Lanzone.";"Estado de S. Paulo.";"Melhoramentos introduzidos na invenção já privilegiada de uns aperfelçoamentos em lam- padas de incandescencia pelo kerozene."
"3.214 (bis)";"25 de fev. de 1901";"Samuel Ami Baillard.";"Idem.";"Melhoramentos introduzidos na invenção já privilegiada de um apparelho formicida aper- feiçoado."
"3.216 (bis)";"25 de fev. de 1901";"Albert C. King.";"Capital Federal";"Melhoramentos introduzidos na invenção já privilegiada de um apparelho gerador de gaz denominado Apparelho King."""
"3.226 (bis)";"11 de out. de 1901";"João de Castro Lima'e Silva,";"Idem.";"Melhoramentos introduzidos na invenção já privilegiada de tres bancos-carteiras esco- lares, a que denominou Municipal, Repu- blica e Estrella ""."
"3.251 (bis)";"5 de set. de 1901";"Bernardo Moreira de Car- valho.";"Idem.";"Melhoramentos introduzidos na invenção já privilegiada de um novo systema de barricas, denominado <Progresso""."
"3.261 (bis)";"23 de agosto de 1901";"Georg Friederich Lebioda";"França.";"Melhoramentos introduzidos na invenção já privilegiada de um aperfeiçoamento em appa- relhos para impregnar madeira."
"3.300 (bis)";"26 de dez. de 1901.";"Bernardo Caymari.";"Capital Federal";"Melhoramentos introduzidos na invenção já privilegiada de uns fornos electricos Caymari destinados a fundir metaes por meio da ele- ctricidade e fornos revestidos de amiantho."
"3.310 (bis)";"9 de set. de 1901";"Arthur Oscar Ferreira Ran- gel.";"Idem.";"Melhoramentos intooduzidos na invenção já privilegiada de novo systema de manufacturar ouro em fio sem solda."
"2.641 (bis)";"9 de julho de 1901.";"Antonio José de Castro";"Capital Federal";"Melhoramentos introduzidos na invenção já privilegiada de um systema aperfeiçoado de envoltorios, involucros ou saccos para en- cerrar pães."
"2.930 (bis)";"9 de set. de 1901";"Wilfred Ignatius Olmer";"Allemanha.";"Melhoramentos introduzidos na invenção já privilegiada de um apparelho para imprimir e entregar os bilhetes de estradas de ferro e outras."
"2.990 (ter)";"21 de out. de 1901";"Carl Johan Kielberg";"Dinamarca.";"Melhoramentos introduzidos na invenção já privilegiada de um methodo aperfeiçoado e apparelho para o fabrico de tubos de cimento."
"3.001 (bis)";"3 de julho de 1901.";"Malaquias Perminio Garcia.";"Capital Federal";"Melhoramentos introduzidos na invenção já privilegiada de um cartucho Garcia e que serve para tiro reduzido ao alvo e para ma- nobras ou tiro de festim, servindo o mesmo cartucho centena de vezes."
"3.054 (bis)";"26 de março ie 1901.";"Eduardo B. Kneese.";"Idem.";"Melhoramentos introduzidos na invenção já privilegiada de uma bateria electro galvanica deneminada "" Bateria Electro Galvanica de Eduardo B. Kneese""."
"3.081 (bis)";"17 de agosto de 1901.";"Dr. Augusto Carlos da Silva Telles.";"Idem.";"Melhoramentos introduzidos na invenção já privilegiada da applicação da fibra de um vegetal da familia das malvaceas e do genero Ulma á fabricação dos tecidos, cordames e artigos semelhantes."
"3.094 (bis)";"26 de agosto de 1901.";"Guiseppe Marchi.";"Idem.";"Melhoramentos introduzidos na invenção já privilegiada de um apparelho aperfeiçoado para produzir gaz acetyleno."
"3.248";"13";"Cassius Montezuma Richmond";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em navios aereos."
"3.249";"16";"Leopoldo Costilla Gimines, Antonio Alves Teixeira Pinto e Alcides Au- gusto Teixeira de Freitas.";"Capital Federal.";"Sabão, denominado <sabão crystal""."
"3.250";"23";"George Winpield Gomber";"Estados Unidos da America do Norte.";"Machina fallante."
"3.251";"25";"Bernardo Moreira de Carvalho";"Capital Federal.";"Novo systema de barricas, denominado ""Pro- gresso""."
"3.252";"25";"Carlos Rostaing Lisboa";"Estado do Rio de Janeiro";"Balão dirigivel, denominado Brazil""."
"3.253";"25";"John Carlisle Blair";"Estados-Unidos da America do Norte.";"Escarradeira de lavagem automatica."
"3.254";"";"João Nogueira de Souza e Antonio Carneiro de Menezes Leão.";"Capital Federal.";"Processo para extracção de materias corantes do tuberculo da curcuma ou açafrão da India e sua applicação ou fins industriaes."
"3.255";"4 março";"Bethlehem Steel Company.";"Estados Unidos da America do Norte.";"Ferramentas para cortar metaes e systema de fa- brical-as."
"3.256";"";"Beuttumuller & Comp.";"Capital Federal.";"Systema aperfeiçoado de fabricação de tecido cor- donnet para chinellos."
"3.257";"";"Dr. José Augusto Quirino dos Santos.";"Estado de S. Paulo";"Novo systema de apparelhos de segurança para estradas de ferro, denominado "" Systema Qui- rino""."
"3.258";"";"Henry Joshua Phillips";"Inglaterra";"Aperfeiçoamentos em processo da extracção de me- taes preciosos de alguns de seus minerios."
"3.259";"";"Antonio Soares Leite";"Capital Feddral.";"Aperfeiçoamentos na fabricação de panellas de ferro fundido."
"3.260";"9";"George Friedrich Lebioda";"França";"Aperfeiçoamentos em processos para tornar a ma- deira incombustivel e imputrescivel."
"3.261";"9";"Idem.";"Idem";"Aperfeiçoamentos em apparelhos para impregnar madeira."
"3.262";"9 de março de 1901.";"Paul Ducasson.";"França";"Propulsor amovivel para barco a vapor de qualquer genero."
"3.263";"9";"Dr. Hermann Theodor Hillischer";"Austria";"Aperfeiçoamento em caminho de ferro electrico."
"3.264";"9";"John Shetchley Morton.";"Estados Unidos da America do Norte.";"Aperfeiçoamento em tampas hydraulicas e outras."
"3.265";"9 """;"American Tobacco Company";"Idem";"Aperfeiçoamento em tampas para latas."
"3.266";"9 """;"Maximo Kaffel.";"Capital Federal.";"Systema de tornar transportaveis os véos de luz incandescente."
"3.267";"11";"José Arnaldo de Almeida Stahlem- brecher.";"Idem";"Novos peitos postiços para camisas, denominados "" peitos elegantes ""."
"3.268";"18";"Dr. Albert F. Sandem.";"Estados Unidos da America do Norte.";"Facha ou cinto electrico."
"3.269";"18";"Robert Levi Middleton";"Idem";"Processo para enriquecer gaz de carvão de pedra e apparelhos para esse fim."
"3.270";"18";"John Burgum";"Capital Federal.";"Caixa de descarga para lavagem, denominada "" J. Burgum's absolute waste water preventer ""."
"3.271";"18";"John Klein.";"Estados Unidos da America do Norte.";"Separador hydraulico para minerio."
