"N";"DATA";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2.821 A";"3 de dezembro de 1903.";"Ernest Charles Deal- - try. (Transferida á Cardoso Costa & Comp.)";"Capital Federal";"Melhoramentos introduzidos na invenção de ma- chinas para encher carteiras com cigarros, já privilegiada pela patente n. 2.821."
"2.871 A";"28 de outubro de 1903.";"Thomaz de Aquino & Comp.";"Idem";"Melhoramentos introduzidos na invenção de - Novo systema de envolucros para cigarros ou cigarreiras, denominado - Cigarreira Rei do Mundo-já privilegiada pela patente n. 2.871."
"3.121 A";"16 de novembro de 1903.";"Henrique Brüggmann";"Estado Oriental do Uruguay.";"Melhoramen.os que introduziu na invenção de - Serigote destinado ao serviço de cavallaria mi- litar, ao qual denominou - Serigote Militar - já privilegiada pela patente n. 3.121."
"3.388 A";"16 de fevereiro de 1903.";"Robert M. Knight.";"Estados Unidos da America do Norte.";"Melhoramentos introduzidos na invenção de - Aperfeiçoamentos em processos de extracção de metaes de seus minerios - já privilegiada pela patente n. 3.388."
"3.446 A";"16 de novembro de 1903.";"Dr. Thomaz Pereira.";"Montevidéo";"Melhoramentos que introduziu na invenção de - Correame inconsutil - já privilegiada pela pa- tente n. 3.446."
"3.530 A";"25 de fevereiro de 1903.";"Mendes & Santos.";"Capital Federal";"Melhoramentos introduzidos na invenção de - Novo processo de enfardar ou empacotar fumos - já privilegiada pela patente n 3.530."
"3.711 A";"16 de junho de 1903.";"Dr. Francisco Alves de Lima Filho.";"Idem.";"Melhoramentos introduzidos na invenção de ap- parelho denominado - Bomba automatica ma- ritima e para poços - já privilegia la pela pa- tente n. 3.711."
"3.759 A";"28 de outubro de 1903.";"Luiz Antunes &Comp.";"Estado do Rio Grande do Sul.";"Melhoramentos introduzidos na invenção de - Latas aperfeiçoadas para acondicionamento de banha de porco - já privilegiada pela patente n. 3.759."
"3.761 A";"26 de junho de 1903.";"Friedrich Wilkens Wieda.";"Estados Unidos da America do Norte.";"Melhoramentos introduzidos na invenção de - Aperfeiçoamentos em machinas de misturar e amassar - já privilegiada pela patente numero 3.761."
"3.838 A";"7 de dezembro de 1903.";"William Adomiram Shely e Alda Mer- ril Shely.";"Idem";"Melhoramentos introduzidos na invenção de - Machina para partir e esmagar ou limpar as materias fibrosas - já privilegiada pela patente n. 3.838."
"3.884 A";"30 de setembro de 1903.";"Francisco Moreno Garcia.";"Capital Federal";"Melhoramentos introduzidos na invenção de - Um barril-modelo - já privilegiada pela pa- tente n. 3.884."
"3.898 A";"3 de dezembro de 1903.";"Alberto Fernandes de Souza.";"Idem.";"Melhoramentos introduzidos na invenção de - Um apparelho denominado R pido-taxador, destinado aos diversos despachos em estradas de ferro e outros misteres analogos - já pri- vilegiada pela patente n. 3.898."
"1";"3 jan. de 1903.";"John Burgum";"Capital Federal.";"Apparelho sanitario para desinfectar latrinas, es- gotos, etc. denominado - o Sanitario de J. Bur- gum."
"2";"23 > A >";"Domingos Orelly";"Idem";"Novo systema de purificar e desinfectar o ar de uma cidade."
"3";"6 fever.";"Luiz Grüder";"Idem";"Apparelho e processo de imprimir diversas côres ao mesmo tempo, denominado - Apparelho e processo para impressão polygraphia simultanea."
"4";"12 "" >";"Manoel Vieira de Mello";"Estado do Rio de Janeiro.";"Um apparelho hygienico"
"5";"15 > > """;"Claudino Muniz da Silva.";"Capital Federal.";"Novo systema de carroças, denominadas- Carroças hygienicas - para remoção de lixo."
"6";"24 >> >";"Manoel Gomes & Comp.";"Idem";"Lampada aperfeiçoada a incandescencia de vapor de alcool."
"7";"15 maio";"Eusebio Maximiano Pires Ferreira.";"Idem";"Regulador automatico para annunciar com antece- dencia estações de estradas de ferro ou outros quaesquer vehiculos de viação publica, deno- minado - Registrador Pires."
"8";"25 "" > """;"Ornstein & Comp.";"Idem";"Processo de seccar café (ou extrahir a agua), por meio de ar quente."
"9";"26 > > """;"Alcêo de Oliveira Pinto Dias (Dr.) e Francisco Dionizio dos Santos.";"Estado de S. Paulo.";"Meio para fazer trabalhar moinhos ou meca- nismos collocados em quaesquer vehiculos."
"10";"26 maio de 1903.";"Alcêo de Oliveira Pinto Dias e Deodato José Rodrigues de Moraes (Drs.)";"Estado de S. Paulo";"Medicamento tendo a propriedade de extinguir to- talmente a carie dentaria - denominado - Peri- ostina."
"11";"4 junho A";"Souza Cruz & Comp., firma composta dos so- cios Albino de Souza e Augusto Nerslach.";"Capital Federal.";"Carteira para cigarros"
"12";"17 >>";"José Gonçalves de Freitas";"Estado de S. Paulo";"Novo producto denominado- - Cerveja de Café"
"13";"23 A";"João Ribeiro Junior";"Capital Federal.";"Um typo de registro de penna d'agua."
"14";"25 """;"Manoel Gomes da Fon seca.";"Estado do R. G. do Sul.";"Machina para refinar assucar"
"15";"25 A """;"Henrique Christiano Röhe";"Capital Federal.";"Roda motriz applicavel á tracção de vehiculos."
"16";"25 > A";"Graciano Gomes Calcado";"Estado de Minas Geraes";"Apparelho intitulado - Força Nova - destinado a ser automotor."
"17";"10 julho "" """;"Gregorio Gonçalves de Castro Mascarenhas.";"Estado de S. Paulo";"Um novo meio de torrefacção de café e outros graos."
"18";"7 "" "" """;"José Maria Campos";"Capital Federal.";"Um explosivo, a que denominou-Explosivo-Brazil"
"19";"20 "" "" """;"Gregorio Gonçalves de Castro Mascarenhas.";"Estado de S. Paulo";"Novo meio de tornar os saccos ou envolucros de quaesquer tecido, inclusive o de juta ou aniagem efficientemente impermeaveis."
"20";"21 """;"Braz da Silveira Caldeira.";"Capital Federal";"Fecho inviolavel, que denominou-Silveira Caldeira"
"21";"1 agosto";"Antonio Alves Pereira de Lyra (Dr.).";"Idem";"Novo systema de turbinas motoras, que teem por fim substituir as machinas a vapor, a gaz e a agua, actualmente usadas."
"40";"27 nov. de 1903.";"Henrique Vacck.";"Estado de S. Paulo";"Um apparelho pneumatico denominado-Aspirador - de pó. e fagulhas."
"47";"22 "" "" """;"Israel Gomes de Oliveira.";"Capital Federal";"Uma invenção denominada - Fecho inviolavel - para fechamento de malas e saccos."
"48";"23 "" "" """;"João Ribeiro Junior";"Idem";"Typo regulador de penna d'agua"
"49";"24 "" >";"Adel Barreto Pinto";"Idem";"Invenção para o systema Adel, destinado como aproveitamento mento de trem, de forças transformados adquiridas pelo energia movi- um em electrica, dá a esse trem multiplicação de força motriz, illuminação, etc."
"50";"26 dez. "" """;"Pedro Cardoso de Azevedo";"Idem";"Novo systema de graduar por meio de um appa- relho denominado- - Rheostato Azevedo - a in- tensidade da luz electrica n'uma lampada incan- descente."
"51";"30 >> "" A";"João Evangelista de Ne- greiros Sayão Lobato.";"Estado do R. G. do Sul";"Aeronave projectil dirigivel."
"3.758";"8 de jan. de 1903";"Melvin David Comptou";"Estados Unidos da America.";"Reguladores para gaz."
"3.759";"""";"Luiz Antunes & Comp.";"Estado do Rio Grande do Sul.";"Latas aperfeiçoadas para acondicionamento de banha de porco."
"3.760";">";"Hubert Cecil Booth";"Olau, Escossia";"Aparelho removedor de pó ou poeira."
"3.761";""" "" """;"Ernest Friederich Wilhem Vieda.";"Paterson, New Jersey, Es- tados Unidos da America do Norte.";"Aperfeiçoamentos em machinas de misturar e amassar."
"3.762";""" "" > > >";"Henry Blaud";"Sydney, Australia";"Aperfeiçoamentos em apparelhos para com- pressão de fluidos elasticos."
"3.763";""" A """;"Dr. Miecrystaw Kowalski.";"Polonia, Russia.";"Processo para purificar por meio da extracção, jorros, xaropes e molaços na fabricação de assucar,"
"3.764";"21 "" "" """;"Domingos Gonçalves.";"Capital Federal.";"Machina para a separação completa por lava- gens de metaes preciosos, especialmente ouro, de minas e terras de alluvião."
"3.765";""" "" "" >>";"Alfredo de La Fuentes.";"Idem";"Massa economica isolante."
"3.766";"22 "" "" """;"Antonio Elbert";"Estado de Minas Geraes.";"Novo systema de molas para beneficiar cafe e arroz."
