"N";"Data";"Nome";"Nacionalidade";"Profissão";"Domicilio";"OBJECTO DA INVENÇÃO";"OBSERVAÇÔES"
"4.218";"3 de jan.";"Dionysio Rodrigues da Costa.";"Brazileiro";"Pharmaceutico.";"Rio de Janeiro.";"Um regulador automatico de pressão de gaz.";""
"4.219";"4 """;"Companhia Cervejaria Brahma.";"Brazileira";"Industrial";"Idem";"Novo systema de camaras frigorificas, destinadas a conservar comestiveis, como carne, peixe, manteiga, ovos, fructas etc., em seu estado natural, em ar fresco e isento de bacterias, denominado € Frigorifico polar "".";""
"4.220";"5";"Leopoldo Vieira Corrêa e Castro & Irmão.";"Brazileiros";"Lavradores";"Vassouras (E. do Rio de Janeiro).";"Um apparelho para destruição das for- migas e outros insectos damninhos, denominado "" Insecticida Corrêa e Castro "".";""
"4.221";"5";"Frederick Henry Lowndes.";"Brazileiro";"Empregado no commercio.";"Rio de Janeiro.";"Um registro ou medidor de gaz que funcciona sómente mediante a intro- ducção, num orificio apropriado, de uma moeda de nickel ou prata de de- terminado valor.";""
"4.222";"12";"Bernardino Lourenço Pe- reira Prista.";"Portuguez";"Commerciante";"Idem";"Um vasilhame feito de folha de Flandres e de formato sextavado para acondi- cionamento de azeite, denominado "" Vasilhame Prista""";""
"4.221";"12 "" """;"Alfred Schwarz";"Norte-america- no.";"Engenheiro";"New-York (E. U. da America do Norte).";"Processo para concentrar minerios.";""
"4.224";"12";"Alejo Rossell y Rius";"Uruguayo";"Industrial";"Montevidéo (Uruguay).";"Systema de construcção de casas eco- nomicas, denominado Systema Ros- sell y Rius "".";""
"4.225";"13";"Agostinho da Fonseca Me- néres.";"Portuguez";"Negociante e in- dustrial.";"Porto (Portugal)";"Novo systema de fogareiro portatil.";""
"4.226";"14";"Leopold Nathan.";"Suisso.";"Industrial";"Zürich (Suissa).";"Aperfeiçoamentos no fabrico de cer- veja.";""
"4.227";"14";"Luiz von Puttkammer.";"Brazileiro";"Engenheiro";"s. Paulo (Estado de s. Paulo).";"Um calendario perpetuo com um pes- quizador para calculo das divisões do tempo.";""
