N; Data;Nome;Nacionalidade;Profissão;Domicilio;OBJECTO DA INVENÇÃO;OBSERVAÇÔES
4.52;7 de fev.;Anson Gardner Betts;Norte americano;Chimico;Nova York (Estados Unidos da America);Aperfeiçoamentos em conductores eletricos.;NA
4.521;7 >;Angelo Vecchio;Italiano;Negociante;Estado de S. Paulo;Aperfeiçoamentos na fabricação de bandolins, violões e semelhantes.;NA
4.522;7 > >;Marine Construction Company;Norte-americana;Industrial;S. Francisco da California (Estados Unidos da America).;Aperfeiçoamentos em apparelhos de dactos de ar e areia.;NA
4.523;7 >;Fructuoso da Costa Bastos;Portuguez;Lavrador;S. Sebastião da Estrolla (Estado de Minas). ;Apparelho para destruição das formigas sauvas, denominado <Apparelho Fructuoso>. ;NA
4.524;7;José Ayres Soares.;Portuguez;Negociante;Rio de Janeiro;Filtro aperfeiçoado de pedra vulcanica.;NA
4.585;7;Lealie James Moser;Inglez;Engenheiro;Londres (Inglaterra);Apparelho para fabricação de agua e producção de bebidas gazosa gazosas compostas no acto da descarga do dito aparelho.;NA
4.526;7;Fernando Arens & Filho;Brasileiros;Engenheiros;S. Paulo (Estado de S. Paulo).;Novo descascador conico com chapas carga do dito apparelho. diamanto.;NA
4.577;7;Os mesmos;;;;Abreheigonmentos em ventiladores e para café e outros cereas.;NA
4.528;7;"Heinrich Zettel; Owwaldo Packness";"Brasileiro; Dinamarquez.";Industriaes;s. Paulo (Estado de s. Paulo).;Machina para descascar aramina reclames ontras plantas textis.;NA
4.529;15;Guilherme Guimarães Junior;Brasileiro;Industial;Rio de Janeiro;Novo systema de annuncios e reclames por meio de Iatas, caixas e outras vasilhas de folha do Flandres, zinco ou analogas.;NA
4.53; 15 >;Horace Fowler Brown;Norto-americano.;Engenheiro;Chicago (Estados Unidos da America).;Novo methodo de tratamento de minereos.;NA
4.531;15;João Fernandes do Couto;Portuguez;Industrial; Rio de Janeiro;Apparelho para graduação de penna de de agua.;NA
4.532;15;Robert Harben Whitelegg;Inglez;Engonheiro-mecanico;Forest Gate, Essex (Inglaterra).;Aperfoiçormentos em dispositivos rescapamento variavel para locomo-;NA
4.533;15;Charles Nelson Atlee;;Negociante;Rio de Janeiro;Aperfeiçoamentos em bandejas, mesas ou cousa semelhante, com pés ou supportes de fechar.;NA
4.534;15;Friedrich Wilhelm Klever;Allemão;Industrial;Cologne (Allemanha);Aperfeiçoamentos na fabricação de oleos lubrificantes e anti-corrosivos;NA
4.535;15;Schneider & c;Francezes;Industriaes;Le Creusot, Saône et Loire (França).;Carreta de reparo para canhões sobre rodas;NA
4.536;15;William Samuel Laycock;Inglez;Engenheiro;Sheffleld (Inglaterra);Aperfeiçoamentos em carros de ferro-carris ou outros vehículos.;NA
4.537;16;João José de Mendonça Cardoso;Brasileiro;Funccionario publico;Nitheroy (Estalo do Rio de Janeiro);Proparação de um producto industrial, a que denominou <Kerozene de Segurança > , por um processo em virtude do qual conseguiu extrahir do petroleo do commercio as essencias leves que o tornam eminentemente inflammavel e perigoso.;NA
4.538;17;Conrado Sorgenicht;>;Commerciante;S. Paulo (Estado de S. Paulo).;Novo systema de fabricação de placas, painels, chapas e semelhantes, empregando como materia prima o vidro ou qualquer materia vitrea.;NA
4.539;19;Jacob David Wolf;Inglez;Industrial;Londres (Inglaterra);Aperfeiçoamentos metaes dos respectivos minereos.;NA
4.602;25 de abr.;Affonso Pimenta Velloso; Brasileiro;Industrial;Rio de Janeiro;Novo proceiso de extracção de collu- lose da canna de assuear. (1);NA
4.603;26 > >;Eduardo José de Souzi Proença; >;;;"Braço acustico Possante "", para substituir as cornetas dos zonopho- nos, gramophonos, phonographos e outras machinas fallantes analogas dando aos excerptos fallados, etc., um timbre, sonoridade, etc., mais naturaes e mais puros, bom como para servir de transmissor e receptor de telephonos e para outras transmissões e recepções da palavra, etc., a distancia, em apparelhos de effeitos semelhantes aos dos telephonos e nestes. 20-";NA
4.604;26 > >;o mesmo.; ;;;Systema de discos duplos para nophonos, gramophonos e appare- lhos semelhantes, denominado <Bl- disco>.;NA
4.605;27;Gonçalves, Campos & Comp; Brasileiros;Industriaes;;Sabão commum aperfeiçoado, para uso nas lavanderias, na lavagem de casas e de quaesquer objectos.;NA
4.606;27 >;"Companhia Mecanica e Importadora de S. Paulo; e Sensaud de Lavaud & C°"; Brasileira Francezes;Industrial Industriaes;"S. Paulo (Estalo de s. Paulo); Osasco (Estado de S. Paulo)";Systema aperfeiçoado de fabri- car canos de bolsa, de grés, de barro, etc.. e dispositivo novo para esse fim. ;NA
4.607;27;Athayde & Comp; Brazileiros;Negociantes;Rio de Janeiro;"Carteira aperfeiçoada para cigarros, denominada ""Fortaleza>. ";NA
4.608;27;Alejandro Sosa Diaz; Uruguayo;Industrial;Montevidéo (Republica do Uro- guay);"Systema aperfeiçoado de calçamento para ruas, deaominado <Sys- tema Delucchi"".";NA
4.609;27;Froderico de Blanco y Perez de Vera; Hespanhol;>;Madrid (Hespanha);Novo apparelho mocanico electro- automatico para annuncios. ;NA
4.61;27;o mesmo; ;>;;Novo apparelho electrico de chamada,denominado <Fecho electrico>. ;NA
4.611;27;Paschoal Segreto; Italiano.;Emprezario theatral;Rio de Janeiro;Novo brinquedo automatico, denominado <Pao de sebo automatico >.;NA
4.612;27 >;O mesmo; ;;;Novo apparelho automatico para audição de peças musicaes, com vistas animadas ou não.;NA
4.613;27 >;William Samuel Layeock; Inglez;Engenheiro; Shoffield (Inglaterra);Aperfeiçoamentos em engates para vehículos de estrada de ferro. ;NA
4.614;27 >;Louis Arsène Désy; Canadense;Engenheiro civil;Montréal (Canadá);Apparelho aperfeiçoado de excavação. ;NA
4.615;"28 > """;Jens Theodor Suhr Schouboe;Dinamarquez;Militar;Copenhague (Dinamarea);Armação de sella cargueira (cangalha).;NA
4.616;30 >;Norman Fraser; Inglez;Engenheiro;Escossia (Gran-Bretanha);Aperfeiçoamentos em machinas de medir e cortar panno e semelhante. Novo systema de janellas, denominado;NA
4.617;4 > maio;Otto Ressler; Alemão;Industrial;s. Paulo (&stado de s. Paulo).;Novo systema de janellas, denominado < Janella Ressler >. ;NA
4.618;7;Antonio Mendes Teixeira; Brasileiro;Engenheiro militar;;Processo para a fabricação industrial do ferro.;NA
4.733;22 de set.;Electric Boat Company;Norte-americana ;Industrial;Nova York (Estados Unidos da America).;Dispositivo de connexão para reser- vatorios de lastro de submarinos, submergíveis e semelhantes (1).;NA
