"";"N";"CONCESSIONARIO";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"1";"1.040";"Daniel Pedro Ferro Cardoso";"Capital Federal.";"Applicação do ar por meio mecanico para eva- poração dos liquidos pelo apparelho que deno- minou - Evaporador mecanico";"6 de Janeiro.";"15 annos."
"2";"1.041";"Manoel Martins Gonçalves.";"Idem";"Apparelho de ventilação para tirar fumaça das fulas e outras officinas.";"";""
"3";"1.042";"Jean Gerard van den Elhont.";"Saherbeck (Belgica)";"Novo systema de gazogeneo portatil universal para a fabricação dos gazes inflamaveis e explosivos pela carburação do ar atmospherico.";"";""
"4";"1.043";"Affonso Harting.";"Cidade de s. Paulo.";"Machina destinada a separar o café perfeito do imperfeito e corpos de peso menor que este.";"13";""
"5";"1.044";"Luiz Dupont e Luiz Alexandre Rezard.";"Capital Federal";"Applicação nova das fibras da planta Sanseveria, do grupo das Hemerocallias, familia das Lili- aceas á fiação e tecelagem dos pannos.";"";""
"6";"1.045";"Carlos Freire Villaba Alvim e Jorge Alberto Vinchon";"Idem";"Novo systema de breaks, denominados - Breaks Vallalba";"";""
"7";"1.046";"Giulo Cluati e Arthur Maria Teixeira de Azevedo";"Idem.";"Novo apparelho pára-raios.";"19";""
"8";"1.017";"Euzebio Maximiano Pires Ferreira.";"Idem.";"Novo systema de carrosfrigorificos, denominados Pires Ferreira";"";""
"9";"1.048";"Guilherme Ruta, Antonio Bellido Leonardo e Salvador Spinelli.";"Idem";"Novo systema de latrinas publicas.";"20";""
"10";"1.049";"Antonio da Rocha Passos e José Antonio da Rocha Passos,";"Idem";"Apparelho denominado - Taxa semi-cylindrica para seccar e clarificar assucar, e feculas e para outras applicações";"";""
"11";"1.050";"Os mesmos.";"Idem.";"Melhoramentos introduzidos nas taxas he- misphericas para seccar e clarificar assucar, feculas, etc., e para outras applicações";"";""
"12";"1.051";"Bertram Rocheford";"Capital Federal.";"Seccador Rochefort, destinado a seccar café, cereaes, etc";"20 de Janeiro,";"15 annos."
"13";"1.052";"Charles Negrier";"França.";"Novo forno para concentração do acido sul- phurico.";"4 de Fevereiro";""
"14";"1.053";"Carlos Accioli de Azevedo Bastos.";"Capital Federal.";"Novo systema de apparelhos salva-vidas, des- tinados aos bonds";"";""
"15";"1.054";"Ellis Carr";"Londres";"Aperfeiçoamentos em latas de biscoutos e outros artigos susceptiveis de deterioração e instru- mentos para abrir latas.";"";""
