"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"1";"(1230)";"Augusto de Meritens,";"Pariz.";"Melhoramentos introduzidos na sua invenção privilegiada de uma nova pilha electrica.";"2 de janeiro";"Emquanto durar"
"2";"1374";"Luiz Ferreira Drumond e Jorge Gomes dos Passos Perdigão.";"Capital Federal.";"Novo systema de carro fiscal dynamometrico, indicando o peso das cargas";"Idem.";"a patente pri- mitiva, 15 annos."
"3";"1375";"Pierre Paulin Faure.";"Limoges (França)";"Machina de descascar a ramie e outras plantas textis.";"Idem";"Idem"
"4";"1376";"Francisco Gonçalves Ribeiro.";"Estado de S. Paulo";"Descascador de café denominado Descascador Ribeiro";"Idem";"Idem."
"5";"1377";"Schneider & Comp.";"Creuzot (França)";"Apparelho de carga dos canhões dispostos em torrinhas.";"Idem.";"Idem."
"6";"1378";"Os mesmos";"Idem.";"Mecanismo de ábastecimento automatico conti- nuo dos canhões collocados em torrinhas.";"5 de janeiro";"Idem."
"7";"1379";"Ernest Jules Pierre Mercadier";"Pariz";"Telegraphia multiplex";"Idem.";"Idem."
"8";"1380";"Empreza Industrial de Melhoramentos no Brazil";"Capital Federal,";"Forno continuo aperfeiçoado com fogo fixo para cozinhar tijolos, telhas, etc.";"Idem";"Idem."
"9";"1381";"Samuel Ami Bataillard";"Estado do Rio de Janeiro.";"Novo processo de matar todas as especies de formigas, denominado Formicida Bataillard,";"Idem.";"Idem."
"10";"1382";"José Agostinho dos Reis,";"Capital Federal";"Casas economicas de madeira e amiantho";"Idem.";"Idem."
"11";"1383";"Eugène Buffet";"Bruxellas";"Nova pilha electrica denominada Pilha Buffet.";"23 de janeiro.";"Idem."
"12";"1384";"Andres de Chirée e Carlos Alberto Ribeiro de Mendonça.";"Capital Federal";"A pplicação da casca do café como bebida.";"Idem";"Idem."
"13";"1335";"Antonio Alves da Silva Junior e Euzebio Maximiano Pires Ferreira";"Idem.";"Telha aperfeiçoads denominada Telha Brazileira";"Idem";"Idem."
"14";"1386";"Verissimo Barbosa de Souza.";"Idem.";"Motor de pressão de ar com applicação mari- tima e terrestre.";"Idem:";"Idem."
"15";"1387";"Mamede Ribeiro da Silva Lopes e Rodolpho Joaquim Rodrigues.";"Do'10 na Bahia e do 20 nesta cidade";"Processo de preparar as fibras da planta Coroá (Bilbergia) e da sua applicação ao fabrico de tecidos, cordas, barbantes, linhas, etc";"30 de Janeiro";"15 annos."
"16";"1388";"Herbert Akroyd Stuart e Charles Richard Binney.";"Inglaterra";"A perfeiçoamentos em machinas actuadas pela explosão de misturas de vapor ou gaz com- bustivel e de ar";"Idem";"Idem."
"17";"1389";"Percival Everit";"Londres";"Apparelho destinado a accender e apagar auto- maticamente as lampadas e combustores pu- blicos de gaz.";"Idem";"Idem."
"18";"1300";"João Pedro Fausto de Alcantara e Luiz Dupont.";"Capital Federal";"Applicação nova das fibras das plantas da familia das Liliaceas á fiação e tecelagem.";"Idem.";"Idem."
"19";"1391";"Pedro de Oliveira Santos";"Idem.";"Apparelho denominado Dynamo-Industrial.";"Idem.";"Idem."
"20";"1332";"Pablo Harms e Felicissimo Paulo de Freitas.";"Idem.";"Apparelho denominado - Gravador Instantaneo Harms";"30 de Janeiro.";"Idem."
"21";"1333";"Francisco Pinto Brandão";"Idem.";"Fabricação do linoleum";"6 de Fevereiro";"Idem."
"22";"(1291)";"Samuel Ami Bataillard";"Estado do Rio de Janeiro.";"Melhoramentos introduzidos na sua invenção privilegiada de uma machina de matar for- migas.";"Idem.";"Em quanto du-"
"23";"1394";"Leopold Quarré";"Capital Federal";"Novo systema de chaminé de aeração e desin- fecção.";"13 de Fevereiro";"rar a patente primitiva. 15 annos."
".24";"1393";"Henri Cousandier";"Estado da Bahia.";"Novo processo de extineção das formigas.";"Idem";"Idem."
"25";"1393";"Francisco Comas";"Capital Federal";"Utilisação industrial dos alcatrões acidos de pe- troleo, e dos petroleos naturaes depreciados para a fabricação de gaz de illuminação e bri- quettes.";"Idem";"Idem."
"26";"1397";"EdwardSelden Townsend Kennedy";"Nova-York.";"Caldeira de vapor de tubo radial ou porcupine.";"Idem.";"Idem."
"27";"1393";"Walter J. Hammond e John Gordon.";"Do 10 no estado de S. Paulo e do 2° nesta cidade.";"Grampo ou prego de fórma melhorada para segurar os trilhos nos dormentes. (Confir- mação da patente que lhes foi concedida pelo governo dos E. U. da America do Norte).";"Idem.";"Idem."
"28";"1399";"Herculano de Araujo";"Capital Federal";"Novo systema de estribo articulado.";"Idem.";"Idem."
"29";"(995)";"George Young, Frank Pearn e William Crippin.";"Inglaterra";"Melhoramentos introduzidos na sua invenção privilegiada de mecanismos aperferçoados para tingir e branquear o algodão, seda, lã e outras materias fibrosas em estado bruto ou manufacturadas.";"20 del Fevereiro";"Imquanto vigo- rar a patente primitiva."
"30";"1400";"George Boynton e Boynton";"Capital Federal";"Novo systema de diques e armazens fluctuantes combinados";"Idem.";"15 annos."
"31";"1401";"Eugenio de Lacerda Franco.";"Estado de s. Paulo";"Machina de beneficiar café, denominada - Novo Lavador Lacerda";"Idem.";"Idem."
"32";"1402";"Botelho, Teixeira & Auler.";"Idem.";"Machina de descascar e limpar café, denomi- nada - Botelho.";"Idem.";"Idem."
"33";"1403";"Joel Gilbert Justin.";"Nova York";"Construcção de obuzes para explosivos de grande força.";"Idem.";"Idem."
"34";"1404";"Carlos Poma.";"Capital Federal";"Systema de tijollos de areia e cimento, deno- minado - Excelsior.";"Idem";"Idem."
"33";"1403";"Agostinho Maximo Nogueira Penido";"Estado de Minas Geraes.";"Processo para preparar o producto denomi- nado - Alfafa Brazileira.";"27 de Fevereir.";"Idem."
"36";"1406";"Roberto J. Kinsman Benjamin.";"Capital Federal";"Annuncios por meio de bilhetes de estradas de ferro.";"Idem";"Idem."
"37";"1407";"José Noschese.";"Estado de S. Paulo";"Ventilador denominado - Noschese.";"Idem.";"Idem."
"38";"1408";"Pedro Casimiro Frederico Gerboz.";"Capital Federal";"Applicação da photographia aerea para org?- nização de cartas cadastraes e trabalhos geodesicos.";"5 de Março";"Idem."
"39";"1409";"Jean Mathieu Racamier e Vicente Garcia";"Idem.";"Novo meio para fabricar os tecidos elasticos para calçados, uspensorios, cintas, ligas, etc. systema Jean Mathieu Racamier e Vicente Garcia.";"Idem.";"Idem."
"40";"1410";"Alfredo Mattos Pinheiro.";"Capital Federal";"Terreiros elasticos para seccar café e outr";"";""
"41";"1411";"Samuel Burguin.";"Estado do R10 de Janeiro.";"os productos. Carrinho-caixa denominado -- Box-Cart.";"5 de Março Idem";"Idem. Idem."
"42";"1412";"José Innocencio do Amaral Campos.";"Estado de S. Paulo.";"Machina denominada-Productor-Continno -";"12 de Março,";"Idem."
"43";"1413";"Jules Kuneman";"Hollanda";"Fermentação rapida dos caldos de melaços de cannas.";"Idem";"Idem."
"44";"1414";"Cecilio D'Alto";"Estado do Rio Grande do Sul.";"Processo para conservação de carne.";"19 de Março.";"Idem."
"45";"1415";"Antonio Appolinario de Carvalho.";"Capital Federal";"Novo systema de ferraduras aperfeiçoadas.";"Idem.";"Idem."
"64";"(1065)";"João Gonçalves Ferreira Tito.";"Idem";"Melhoramentos introduzidos na sua invenção privilegiada da busina automatica, para bonds e carroças.";"26 de";"Idem."
"47";"1416";"George Thomas Beilby";"Escossia";"Processo e apparelho para fabricação de cyanuretos";"Março";"Emquanto durar a patente pri- mítiva. "
"48";"1417";"Franz Beste";"Allemanha";"Apparelho permittiado effectuar automatica- mente a tomada e acabamento completo de photographias";"Idem.";"15 annos."
"49";"1418";"Uldarique Marga.";"Bruxellas";"Novo systema de cartuxos para armas de fogo.";"Idem.";"Idem."
"50";"1419";"John Drennan Curtis.";"Estados Unidos da America do Norte";"A perfeiçoamentos em arame farpado.";"Idem";"Idem."
"51";"(1365)";"Alfredo Fernandes de Castro Bravo";"Capital Federal";"Melhoramentos introduzidos na sua invenção privilegiada do Cognac de Seiva de Pinheiro e Balsamo de Tolú";"2 de Abril";"Emquanto durar a patente pri- mitiva."
"52";"1420";"The Mosquera Julia Food Company.";"Estados Unidos da America do Norte.";"Aperfeiçoamento na fabricação de fermentos, peptonas e productos peptonisados.";"Idem.";"15 annos."
"53";"1421";"Gustave Rasse.";"Capital Federal";"Leite em fermentação alcolica denominado - Kefyr";"Idem";"Idem."
"54";"1422";"Uldarique Marga.";"Bruxellas";"Aperfeiçoamentos em espingardas de repetição.";"Idem";"Idem."
"55";"1423";"Samuel H. Brown";"Estados Unidos da America do Norte.";"Novo processo para recozer ouadoçar metaes";"2 de Abril";"15 annos."
"56";"1424";"Thomaz Rodger";"Nova Zelandia.";"Arado aperfeiçoado para estender e nivelar o lastro sobre as estradas de ferro.";"Idem.";"Idem."
