"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"1";"1543";"Antonio Bento de Moura";"Estado de S. Paulo";"Uma machina destinada a separar as pedras do café em coco, denominada - Catador Moura";"10 dejaneiro";"15 annos."
"2";"1544";"Frederico Capone";"Artavilla Irpina (Italia).";"Um apparelho voador";"Idem";"Idem."
"3";"1545";"Francisco Ferrão Castello Branco.";"Capital Federal.";"Um systema de construcções geraes com arma- ção em ferro, a que denominou - União Con- tinua";"Idem";"Idem."
"4";"1546";"De Morgan Snell & Comp.";"Londres";"Systema motor amovivel, applicavel aos navios, saveiros ou qualquer embarcação.";"17 de janeiro";"Idem."
"5";"1547";"Feldmann & Oppenheimer";"Capital Federal";"Processo de fabricação a frio de cravos para ferraduras";"Idem";"Idem."
"6";"1548";"Sociedade anonyma The Strower Automatic Telephone Exchange.";"Chicago (Estados Unidos da America do Norte)";"Aperfeiçoamentos nos permutadores automati- cos para telephones e outros apparelhos";"Idem";"Idem."
"7";"1549";"João Ridoli";"Estado de S. Paulo";"Um motor a mão denominado-Motor - João Ridoli.";"Idem";"Idem."
"8";"1550";"Antonio Borges de Oliveira";"Lisboa";"Tigelas para receber o leite das seringueiras, feitas de folha branca de uma só lamina e sem solda";"Idem";"Idem."
"9";"1551";"Alexander Francis Garden Brown";"Glasgow, Escossia";"Aperfeiçoamentos em bombas e ventiladores rotativos.";"24 de janeiro";"Idem."
"10";"1552";"Werner Frederik Dassae Smidth";"Copenhague, Dinimarca.";"Um cimento denominado-Sandeiment -";"Idem";"Iden."
"11";"1553";"Otto Rock";"Weimar (Allemanha)";"Melhoramentos nos fornos circulares de tijolos";"Idem";"Idem."
"12";"1554";"João Gonçalves Teixeira Tito";"Capital Federal";"Um apparelho salva-vidas denominado-Limpa- trilhos.";"Idem";"Idem."
"13";"1555";"Alfred Kimber";"Nova York";"Aperfeiçoamentos relativos á producção de gaz e apparelho para o mesmo fim.";"Idem";"Idem."
"14";"1553";"Clement Lejeune.";"Capital Feleral,";"Um novo quadro annunciador de estações de estradas de ferro";"Idem";"Idem."
"15";"1557";"Clement Lejeune.";"Idem";"Um systema de cama portatil para viajantes e officines";"Idem";"Idem."
"16";"1158";"Gerard Beckmann";"Nova York";"Colhedores de algodão.";"31 de janeiro";"Idem."
"17";"13,9";"Gerard Beckmann";"Ider";"Aperfeiçoamentos em machinas colhedoras de algodã:";"Ide:n";"Idem."
"18";"1560";"Manfred Mayer e José Payie.";"Estado de: S. Paulo";"Apparelho para o escoamento das aguas plu- viaes, denominado Gargonille";"Idem";"Idem."
"19";"1531";"Julio Caney e Pedro Maly";"Capital Federal.";"Extractor para exploração das areias auriferas e diamantiferas.";"7 de fevereiro";"Idem."
"20";"1562";"Julio Caney e Pedro Maly";"Idem";"Uma sonda pneumatica para exploração das areias auriferas e diamantiferas";"[dem";"Idem."
"21";"1563";"Miguel Velez.";"Idem";"Novo systema de bicos de gaz, dilatadores, economicos e accendedores automaticos deno- minados - Bicos de gaz Velez";"10 de fevereiro";"Idem."
"22";"1564";"Francisco de Souza Machado";"Idem";"Um apparelho salva-vidas, para bonds ou carros tramways, denominado- - Azas Oscillantes.";"Idem";"Idem."
"23";"1565";"Eugenio Elmo";"Estado de S. Paulo";"Um systema mecanico de reduzir a bitola nos wagons de estradas de ferro";"Idem";"Idem."
"24";"1566";"Antorio Borges de Castro";"Capital Federal";"Um producto denominado- - Pó nutritivo de Borges";"17 de fevereiro";"Idem."
"25";"1567";"Arens Irmãos.";"Idem";"Um apparelho para seccar cafée outros grãos denominado - Novo seccador Arens.";"14 de março.";"Idem."
"26";"1568";"Miguel Velez";"Idem";"Um novo systema de machinas e processo aper- feiçoado para a fabricação de gazhydrogeno de madeira ou qualquer materia vegetal, car- burado com petroleo ou qualquer hydro- carbono para ser empregado como calorico ou como gaz de illuminação, aproveitando-se os productos da carbonisação distillação da madeira";"";""
"27";"1563";"João Julio.";"Estado de S. Paulo";"Um novo systema de fornalha economica, deno- minada - Fornalha economica Paulistana.";"Idem";"Idem."
