"";"N";"CONCESSIONARIOS";"DOMICILIOS";"OBJECTO";"DECEETO";"DURAÇÃO"
"1";"1.985";"Antonio Fernandes Ribeiro Guimarães.";"Capital Federal";"Envolucros em fórma de livro para acondicio- nir cigarros e charutos de sua fabricação";"8 dejaneiro";"15 annos."
"2";"1.986";"João Luiz Cunco";"[dem";"Uma invenção denominada - Argamassa per- petua";"9 de janeiro";"Idem."
"3";"1.987";"Companhia Empirre Cotton & Gin Wool Burrer";"Boston (E. U. da America do Norte";"A perfeiçoamentos em machinas de descaroçar algodão e limpar lã";"10 de janeiro";"Idem."
"4";"1.988";"Euphrasio Manoel do Couto";"Capital Federal";"Systema aperfeiçoado de cigarreiras e envolto- rios para cigarros e charutos.";"Idem";"[dem."
"5";"1,989";"René Coulon.";"Municipio de Caxias (Rio Grande do Sul)";"Processo de fabricação de pó insecticida, deno- minado - Pyretbro";"Idem";"Idem."
"6";"1.990";"Rodolpho Librek";"Cidade de Formiga (Minas Geraes).";"Novo systema de arado de sua invenção, deno- minado - Arado Sithnano.";"14 de janeiro";"Idem."
"7";"1.991";"Emil Hayn";"Schoemberg (Allemanha)";"Estribo de aluminio para tomada de corrente electrica, com dispositivo para lubrificação.";"Idem";"Idem."
"8";"1.992";"Plon, Noarrit & Comp";"Pariz";"Processo de reproducção das côres na photo- graphia";"Idem";"Idem."
"9";"1.993";"Luis Michel Bullier.";"Idem";"Processo de fabricação e utilisação industrial dos carburetos dos metaes terrosos e alcali- nos-terrosos, e dos oxydos dos mesmos metaes";"Idem";"Idem."
"10";"1.994";"Alfredo Fernandes da Costa Bravo";"Capital Federal";"Systema de ponte para um estabelecimento bal- neario,denominado-Systema balneario Tyguá";"16 de janeiro";"Idem."
"11";"1.993";"Paul Banmert";"Berlim.";"Processo para apropriar hydrocarburetos li- quidos a poderem absorver quaesquer quan- tidades de agua";"23 de fevereiro.";"Idem."
"12";"1.996";"Christovão William Anler";"Norte americano";"Banco-carteira escolar, aperféiçoado, denomi- nado - Banco Anler.";"Idem";"Idem."
"13";"1.997";"Emilien Dumoulin";"Pariz";"Fabricação de tubos e folhas de cobre e outros metaes, pela electrolyse.";"Idem";"Idem."
"14";"1.998";"John Sacheveril Gisborne";"Barnsleny (Inglaterra)";"Methodo e meio. para augmentar a força di- rectora das agulhas magneticas";"Idem";"Idem."
"13";"1.999";"Société pour l'extraction integrale et éco- nomique de l'or - Procédé de Rigaud";"Pariz";"Novo processo de sua invenção, de extracção do ouro de seus minereos";"Idem";"Idem."
"16";"2.000";"Dr. Carlos L. Villar.";"Buenos-Aires";"Processo de conservação de carnes, denominado - -Intra arterial";"Idem";"10 annos."
"17";"2.001";"Companhia Sansenena de Carnes Conge- ladas.";"Idem";"Systema de resfriamento das substancias orga- nicas e dos generos alimenticios em geral, applicavel principalmente á congelação das carnes e a conservação pelo frio, denominado - Systema W. Cook e Ch. Lambert";"4 de fevereiro.";"15 annos."
"18";"2.002";"Miguel Velez.";"Capital Federal";"Novo systema de embarcações rotativ S amphi- bias, denominadas - Barcos Velez.";"Idem";"Idem."
"19";"2.003";"Hiram Stivens Maxim.";"Londres";"Aperfeigamentos em canhões automaticos.";"Idem";"Idem."
"20";"2.001";"João Baptista Salvador";"S. Paulo.";"Seccador para café denominado - Seccador- Sa vador.";"Idem";"idem."
"21";"2.005";"Ricardo Honorato Pereira de Carvalho.";"Caxambú (Minas Geraes)";"Systema de gazcificação de aguas mineraes com o gaz das proprias aguas";"5 de fevereiro.";"Idem."
"22";"2.006";"Beeston Tupholme.";"Londres";"Aperfeiçoamentos nos apparelhos destinados a torrar café e substancias analogas";"12 de fevereiro";"Idem."
"23";"2.007";"Coronel Trevenen James Holland.";"Idem";"Aperfeiçoamentos na producção da potassa, soda e chloro, para uso dos fabricantes de papel e outras industrias";"Idem";"Idem."
"24";"2.008";"Manoel Alvss Lobo.";"Capital Federal";"Novo systema de transporte para a venda de aves e qualquer outra criação, como tambem de ovos, etc.";"Idem";"Idem."
"25";"2.000";"Alexander Muirhead";"Londres";"(Aperfeiçoamentos na transmissão das indicações por cabos telegra phicos submarinos,";"Idem";"Idem,"
"26";"2.010";"Herbert Arnand Taylor";"Londres";"Aperfeiçoamentos nos transmissores telegra- phicos.";"12 de fevereiro.";"15 annos."
"27";"2.011";"Companhia Sansinena de Carnes Congeladas.";"Buenos Aires";"Systema de aquecimento das substancias orga- nicas dos generos alimenticios em geral prin- cipalmente applicavel á decongelação das carnes conservadas pelo frio denominado - Systema William Cook & Lambert.";"19 de fevereiro.";"Idem."
"28";"2.012";"Eduardo Waller.";"S. Paulo.";"Systema aperfeiçoado de carteira e cadeira escolares. ";"Idem";"Idem."
"29";"2.013";"Edward Nicoll Dickerson e Julius John Suckert";"Nova York.";"Aperfeiçoamentos no processo e apparelhos para produzir e lequifazer gaz acetyleno";"Idem";"Idem."
"30";"2.014";"Bernardo Pereira de Carvalho.";"Capital Federal";"Escrevaninha escolar systema Carvalho.";"27 de fevereiro.";"Idem."
"31";"2.015";"Bernardo Pereira de Carvalho.";"Idem";"Espiral dupla com castão para ligação de peças de madeira";"Idem";"Idem."
