"";"N";"CONCESSIONARIO";"RESIDENCIA";"OBJECTO";"DECRETO";"DURAÇÃO"
"1";"2.174";"Manoel Maximiano Nogueira Jaguaribe.";"Capital Federal";"Processo aperfeiçoado de fabricação de carbureto de calcio";"2 de janeiro";"15 annos."
"2 3";"2.175 2.176";"Basson Ernest Taaffe.";"Idem";"Aquecedor aperfeiçoado para fazer café, chá, matte, etc., denominado - The Success";"Idem";"Idem."
"3";"2.176";"Bernhard Baron";"Londres";"Processo aperfeiçoado para a fabricação de cigarros e os precisos apparelhos para a ex- ecução desse processo.";"15 de janeiro";"Idem."
"4";"2.177";"Julius Pintsch";"Berlim";"Apparelho denominado - Desenvolvedor de acetylene, systema Pintsch";"Idem";"Idem."
"5";"2.178";"Charles Kingston Welch.";"Coventry.";"Aperfeiçoamento nas valvulas almosphericas dos aros pneumaticos";"Idem";"Idem."
"6";"2.179";"Gustav Willibald Hansen.";"Halle as";"Composição para tornar o couro impermeavel.";"Idem";"Idema"
"7";"1.890bis";"João Pedro Alves da Fonseca.";"Capital Federal";"Melhoramentos introduzidos na sua invenção de um novo sellim par montaria, denominado - Excelsior, privilegiada pela patente n. 1890, de 10 de julho de 1895.";"Idem";"Emquanto vigo-"
"8";"2.180";"Saul Severino da Silva";"Idem";"Oxigenação do gaz carbono de illuminação com os elementos componentes da agua ou do ar por meio da electricidade.";"22 de janeirc";"rar a patente n. 1.890, 15 annos"
"9";"2.181";"Sidney Lawrance";"Melbourne";"Machinismo aperfeiçoado para propulsão ma- ritima";"23 de janeiro";"Idem:"
"10";"2.182";"Wilhelm Prüser.";"Hamburgo";"Systema de fabricação de corpos incandescentes para illuminação a gaz ";"Idem";"Idem."
"11";"2.183";"Wilhelm Prüser.";"Idem";"Queimador de luz incandescente a gaz";"Idem";"Idem."
"12";"2.184";"Alberto Ribeiro Pedrosa.";"Capital Federal";"Marcader automatico para cargas";"231de janeiro";"Idem:"
"13";"2.185";"Sally Katz.";"Hamburgo";"Processo e apparelho para fabricação de bri- quettes de aparas de madeira";"28 de janeiro";"Idem."
"14";"2.186";"oseph Barbe de Nestor Leprene";"França e Belgica";"Apparelh para expulsar o ar das caldeiras, ap- parelhos e tubos de vapor.";"Idem";"Idem."
"15";"2.187";"Pascal Marina";"Bruxelias";"Processo de metallurgia";"Idém";"Idem."
"16";"2.188";"Anna Maria Fernandez Torres.";"Capital Federa!";"ollete-aperfeiçoado para senhora.";"Idem";"Idem."
"17";"2.189";"Frederick, Belling e William Edward Par- tridge";"Birmingham.";"Aperfeiçoamentos em meios de fixar tubos em al- vados ou tubos entre si";"Idem";"Idem."
"18";"2.190";"Ismenia Matheos";"Capital Federal";"Novo systema de ferro para engommar denomi- nado - Ferro de engommar rapido";"Idem";"Idem."
"19";"2.191";"José Rodrigues Botet e Antonio Rodrigues de Barros";"Idem";"Fabricação de um sabão especial, branco e de côres, anti-septico e não anti-septico.";"12ide fevereiro.";"Idem."
"20";"2.192";"Henrique Alves Leite Bastos.";"Idem";"Botão aperfeiçoado";"Idem";"Idem."
"21";"2.193";"Gastão de Almeida Senna Campos.";"Idem";"Apparelho de ar comprimido";"Idem";"Idem."
"22";"2.194";"The New Cycle Company, Limited";"Londres";"Aperfeiçoamentos relativos a velocipedes e outros vehiculos para o trafico rustico e urbano.";"Idem";"Idem."
"23";"2.195";"Maschimenbanaustalt Eisengresserei und Dampphesselt brick H. Panchrsch Actien - Geselleschaft";"Landsburg a W";"Machina destinada á seccagem de café e fruetas semelhantes";"Idem";"Idem."
"24";"2.196";"Augustus W. Colwell e Limes Colwell";"Nova-York";"Novosystema de-fornos de incineração.";"Idem";"Idem."
"25";"2.197";"Charles Berit e Rodolphe Lamprecht";"Gagny";"Lampada de areo";"Idem";"Idem,"
"26";"2.198";"Charles Taverne";"Capital Federal";"Apparelho denominado - Sirino - para a fabri- cação de gaz acetyleno com carbureto de calcio.";"Idem";"Idem."
"27";"2.199";"Airens Irmão.";"Idem";"Melhoramentos em cylindros para seccar café ou outros grãos e materias semelhantes";"17 de fevereiro.";"Idem."
"28";"2.200";"Arens Irmão";"Idem";"Fornalha para produzir ar quente isento de fu- maça e outros productos de combustão";"Idem";"Idem."
"29";"2.201";"Theodore De Cuc Palmer";"Mewark";"Preparo de couros e pelles";"19 de fevereiro.";"Idem."
"30";"2.202";"Carlos Monteiro de Lacerda";"Porto Alegre";"Machina para matar formigas, denominada - Formicida Luiz Barreto";"23.de março,";"Idem."
"31";"2.203";"Albert James Bates";"Yoliet.";"Aperfeiçoamentos na fabricação de tecido de arame trançado para cercas e seu apparelho para o mesmo fim";"23 de março";"15 annos."
"32";"2.201";"Augusto Knoche";"Elbelferd.";"Electro-motor";"Idem";"Idem."
"33";"2.205";"Frederick Carleton Esmond.";"Brooklyn.";"Machinismo aperfelçoado para supportar ou fixar as sellas do bicyclettas e outros vehiculos.";"Idem";"Idem."
"34";"2.206";"Frederick Andrews e William Jar lley An- drews";"Londres";"Aperfeiçoamentos nos meios de tapar garrafas, garrafões, boiões e outros vasos ou receptaculos";"Idem";"Idem."
"35";"2.207";"Mark Worsnop Maroden";"Philadelphia,";"Novo producto tirado do milho, para alimento do gado, com processo e apparelho para pre- paração do mesmo";"Idem";"Idem."
"36";"2.208";"Antonio de Souza Moraes";"Capital Federal.";"Tambor aperfeiçoado denominado - Caixa de rufo Brazil.";"27 de março.";"Idem."
"37";"2.209";"Carlos Vesing.";"Idem";"Processo de transformar assucar bruto em assu car refinado dentro dos apparelhos centrifugos.";"Idem";"Idem."
"38";"2.210";"Enrico Cenziani.";"Milão";"Processo para brunir café e machina para esse fim";"Idem";"Idem."
"39";"2.211";"José Francisco Corréa & Comp.";"Capital Federal.";"Systema aperfeiçoado de empacotar tabaco ou fumo.";"Idem";"Idem."
"40";"2.212";"Samuel Ami Bataillard";"s. Paulo.";"Processo para destruição dos formigueiros.";"Idem";"Idem."
"41";"2.213";"Samuel Ami Bataillard.";"Idem";"lngrediente formicida denominado - Ingrediente Bataillard";"Idem";"Idem."
"42";"2.214";"Samuel Ami Bataillard.";"Idem";"Apparelho formicida aperfeiçoado.";"Idem";"Idem."
"43";"2.215";"George William Nathaniel Hamilton.";"Melbourne";"Tinta de esmalte.";"Idem";"Idem."
"44";"2 216";"Patrick o' Meara";"Pietermaritzburg";"Meios aperfeiçoados destinados a impedir a ac- cumulação de areias ou quaesquer outros detri- tos fôra ou dentro dos portos ou entradas dos portos, canaes e outros logares.";"Idem";"Iden."
"45";"2.217";"""vend Martin Meyer";"Brooklyn.";"Mecanismo electrico de ignição para lampadas de oleo";"Idem";"1dem."
"46";"2.218";"Miguel Velez.";"Capital Federal";"Novo systema de aquecimento sem chamma, por meio de gazes combustiveis";"Idem";"Idem."
"47";"2.219";"Miguel Velez.";"Idem";"Systema aperfeiçoado de ferros de engommar.";"31 de março.";"Idem."
"48";"2.220";"Joaquim da Cunha Barros e Arthur da Cunha Barros.";"Idem";"Lei te inalteravel";"Idem";"Idem."
"4)";"2.221";"Emilio Estacio";"Lisboa";"Applicação nova da esterilisação a bebidas refri- gerantes acidulas carhonicas e aguas mineraes artificiaes";"3 de abril";"Idem."
"50";"2.222";"José de Souza Barros.";"S. Paulo.";"Motor por pressão alternada";"Idem";"Idem."
"51";"2.223";"Charles Taverne";"Capital Federal";"Combustores de gaz acetylene feitos de allumi- nium ou platina";"Idem";"Idem."
"52";"2.221";"Marie Clemence Castagnone";"Idem";"Processo de esterilisação as aguns para o uso domestico e applical-as tambem no fabrico das aguas mineraes artificiaes";"Idem";"Idem."
"53";"2.225";"Delbert Johston Reynolds";"E. U. da America do Norte";"Gerador e reservatorio de gaz acetylene";"10 de abril";"Idem."
"54";"2.226";"David Wilite e Thomas Moore Limpson";"Colonia da Victoria";"Methodo e apparelho aperfeiçoado para a ex- tracção de metaes preciosos da lama ou outra materia dividida muito miuda, contendo os mesmos";"Idem";"Idem."
"55";"2.227";"Henri John Inwood Bilton e Thomaz Timnins";"Melbourne";"Apparelho perfeiçoado para raspar o interior de encanamentos d'agua, ou outros, ou tubos.";"Idem";"Idem."
"56";"2.928";"Jorge Guerrero e Julio Ungemach.";"Buenos Aires";"Descascador universal por meio do ar frio e do ar quente combinados.";"Idem";"Idem."
"57";"2.229";"Walter Levy Mason";"Red Bank";"Porcellana separavel para obras de dentes e den- taduras (erown and bridge work)";"Idem";"Idem."
"58";"2.230";"W.lliam Owen";"Brixton Larray";"Fabricação aperfeiçoada de pedra artificial, mar- more e semelhantes,";"13 de abril";"Idem."
"59";"2.231";"L. Ribeiro & Comp.";"Capital Federal";"Caixa para phosphoros";"Idem";"Idem."
"60";"2.232";"Engen Langen's Erben";"Allemanha";"Caminho de ferro elevado de carro livremente suspenso";"Idem";"Idem."
"61";"2.233";"André Braly e Luiz Braly";"Lyão (França).";"Novo systema de rotulo que garante a authenti- cidade e proveniencia de qualquer producto.";"Idem";"Idem."
"62";"2.234";"Joaquim Rodrigues dos Cotias,";"Capital Federal";"Preparado denominado - Ligno Sulfito.";"14 de Abril";"!dem."
"63";"2.235";"Miles s. Cody";"Stockton.";"Fechadura para malas do correio.";"14 de abril.";"15 annos."
"64";"2.236";"Emil Sterné";"Pariz";"Processo de fabricação de recipientes metallicos destinados a conter gazes liquefactos ou com- primidos e de encher e fechar os/mesmos reci- pientes";"Idem";"Idem."
"65";"2.237";"Francisco' Cordovil de Siqueira e Mello e Americo Nunes Duarte da Costa";"Capital Federal";"Applicação das raspas de chifre na industria de fabricação de colchões e travesseiros, denomi- nada - Filamentos hygienicos";"Idem";"Idem."
"66";"2.238";"Henrique Schayé";"Idem";"Nova beneficiador do cabello, denominado-Tonico Schayé";"19 de abril";"Idem. I"
"67";"2.239";"Leonard Burrell.";"Idem";"Medidor de agua denominado-Hydrometro In- fallivel";"Idem";"80 Idem."
"68";"2.210";"Charles Sinclair Drummond.";"Londres";"A perfeiçoamentos em sellins ou assentos de bicy- clettas ou outros vehiculos";"Idem";"I Idem"
"69";"2.241";"Alice Macdonald";"Idem";"Processo para produzir a cor de alvaiade e obter chumbo metallico por meio dos sulfuretos de chumbo.";"Idem";"Idem."
"70";"2.242";"José de Nueda y Perez";"Buenos Aires";"Feretros ou ataúdes metallicos hygienicos, desti- nados ao encerramento e sepultura dos cada- veres.";"22 de abril";"Emquanto vigo- rar a patente conc e did a pelo Governo Argentino em 15de setembro de 1896."
"71";"2.243";"Nicholad P. Perkino";"E.U. da America do Norte";"A perfeiçoamento em machinas de cortar tabaco.";"21 de abril";"15 annos."
"72";"2.244";"André Braly e Louis Braly.";"França";"Nova disposição para tornar inviolaveis as gar- rafas, frascos e outros recipientes, permittindo tambem verificar a p' ocedencia dos conteúdos.";"";""
