"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"1";"2454";"Francisco da Silva.";"Capital Federal.";"Novo fogão para familia, denominado : fogão Progresso";"7 de janeiro";"15 annos."
"2";"2455";"Emile Lozéa";"Idem";"Escoador d'aguas pluviaes";"Idem";"Idem."
"3";"2456";"William Francis Lay";"New-York.";"Apparelho para mineração do ouro ou outros mineraes.";"Idem";"Idem."
"4";"2457";"Emile Seguy";"Parthenay (França)";"Mesquiteiro portatil ou mosquiteiro dobradiço para viajantes e excursionistas denominado Systema Emile Seguy.";"Idem";"Idem."
"5";"2158";"José Sartorio.";"S. Paulo.";"Apparelho denominado Phebus para a fabricação de gaz acetyleno.";"Idem";"Idem."
"6";"2459";"Theodor Kohler.";"Limback (Allemanha).";"Telha aperfeiçoada.";"Idem";"Idem."
"7";"2460";"John Towsend French.";"Kenmare (Irlanda).";"Aperfeiçoamentos em aros de rodas pneuma- ticas";"Idem";"Idem."
"8";"2161";"Hayden Ciganetti Machine Company, cessio- naria de George Henry Hayden e Frank Demetrius Hayden";"Richmond (Estados Unidos da America do Norte)";"Machinas para fabricar cigarros.";"Idem";"Idem."
"9";"2462";"Pompeu Mogetti.";"Bagé (Rio Grande do Sul).";"Apparelho para esticar arame farpado e outros,";"14 de janeiro";"Idem."
"10";"2463";"Dr. Severino Icard.";"Paris (França)";"A pparelho especial destinado a preservar de fra- cturas os thermometros e outros objectos";"Idem";"Idem."
"11";"2464";"Francisco da Silva.";"Capital Federal.";"Fogareiro para famiiia, denominado: novo foga- reiro Progresso";"Idem";"Idem."
"12";"2465";"Antonio José Luiz Pereira";"Capital Federal.";"Novo systema de bilhetes de passagens nos bonds denominados: Coupons segredo.";"Idem";"Idem."
"13";"2166";"Heinrich Ludwig Verwohlt";"Pasoeroan ou (Ilha de Java)";"Machinas para o tratamento prévio do descasca- mento das bagas de café Liberia";"Idem";"Idem."
"14";"2167";"Henri Sévène e Emile David Cahen";"Paris e Patin (França).";"Machina para a fabricação completa e continut dos phosphoros postos em caixinhas";"Idem";""
"15";"2168";"Louis Praly";"Lyon (França).";"Nova composição auto-luminosa";"Ide:";"Ide n."
"16";"2169";"Bernardo Pereira de Carvalho.";"Capital Federal.";"Movel denominado: Carteira Universal-Syster Carvalho.";"15 de janeiro";"Idem."
"17";"2170";"A'exandre Speltz";"Idem";"Empreg. de correntes electricas de alta frequen- cia, produzidas por bobina Ruhmkortf e ex- citador de Hertz ou T'sla ou por outro meio para telegraphia e telephonia sem conductores, para photographia, para illuminação e para a producção das mesmas corr-ntes por contacto alternativo com conductores de electr cidade.";"27 de janeiro";"Idem."
"18";"2471";"Guido Terzi & Comp.";"S. Paulo.";"Cadeira-annuncios, para serviço de engraxate - Systema Guido Terzi.";"Idem";"Idem."
"19";"2172";"Elie Grosset";"Capital Fedaral.";"Um systema de lide ou justa e apparelho para esse fim.";"Idem";"Idem."
"20";"2473";"Archibaldo Kay.";"Manchester (Inglaterra).";"A perfeiçoamento nos apparelhos destinidos á producção e armazenagem de gaz acetyleno";"Idem";"Idem."
"21";"2171";"Penrose Mallison & Comp.";"Buenos Ayres (Republica Argentina).";"Nova compos ção denominada Frescoral destinada a proteger a superficie das pa- redes, etc., dos edificios, contra a transmissão da temperatura externa ao interior dos mesmos edificios.";"Idem";"Idem."
"22";"2175";"Charles Grey IIIII e Rudolpho Weiss.";"Arnot Kill e Nottingham (Inglaterra)";"Aperfeiçoamento em teares circulares ou refe- rindo-se aos mesmos.";"Idem";"Idem."
"23";"2420";"Santingo Faz e José Francisco de Oliveira Moraes";"Capital Federal.";"Botões-insignias denominados distinctivos offic aes, para serein usados por todas as corporações que estão ao serviço da nação.";"Idem";"Idem."
"24";"2177";"Alfredo Molet.";"Buenos Ayres (Republica Argentina).";"Apparello automatico para producção de gaz acetyleno, den ominado Spirit.";"1dem";"Idem."
